DisplayID,ModelIndex,ModelColumn,Model,TextureType,Folder,Texture,TargetMode
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,2,Head,helm_leather_raiddruidmidnight_d_01_green,SkinMapOnly
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,3,Collections,leather_raiddruidethereal_d_01_be_m_7446206,SkinMapOnly
71019,0,ModelName_1,helm_leather_raiddruidmidnight_d_01.mdx,4,Collections,leather_raiddruidethereal_d_01_be_m_7452301,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,3,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7446281,SkinMapOnly
71020,0,ModelName_1,shoulder_leather_raiddruidmidnight_d_01_l.mdx,4,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7452312,SkinMapOnly
71020,0,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,2,Shoulder,shouldereather_raiddruidmidnight_d_01_green,SkinMapOnly
71020,0,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,3,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7446281,SkinMapOnly
71020,0,ModelName_2,shoulder_leather_raiddruidmidnight_d_01_r.mdx,4,Shoulder,shoulder_leather_raiddruidmidnight_d_01_l_7452312,SkinMapOnly
71021,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,2,Collections,pant_leather_raiddruidmidnight_d_01_green,SkinMapOnly
71021,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,4,Collections,pant_leather_raiddruidmidnight_d_01_be_m_7446064,SkinMapOnly
71022,0,ModelName_1,belt_leather_raiddruidmidnight_d_01.mdx,2,Collections,leather_raiddruidethereal_d_01_7445945,SkinMapOnly
71022,0,ModelName_1,belt_leather_raiddruidmidnight_d_01.mdx,3,Collections,leather_raiddruidethereal_d_01_7445950,SkinMapOnly
71026,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,2,Collections,pant_leather_raiddruidmidnight_d_01_green,SkinMapOnly
71026,0,ModelName_1,pant_leather_raiddruidmidnight_d_01.mdx,3,Collections,pant_leather_raiddruidmidnight_d_01_be_m_7446064,SkinMapOnly
71031,0,ModelName_1,leather_raiddruidemerald_d_01_helm.mdx,2,Collections,leather_raiddruidemerald_d_01_helm_green,SkinMapOnly
71031,0,ModelName_1,leather_raiddruidemerald_d_01_helm.mdx,3,Collections,leather_raiddruidemerald_d_01_helm_be_m_5330073,SkinMapOnly
71032,0,ModelName_1,leather_raiddruidemerald_d_01_shoulder_l.mdx,2,Shoulder,leather_raiddruidemerald_d_01_shoulder_green,SkinMapOnly
71032,0,ModelName_1,leather_raiddruidemerald_d_01_shoulder_l.mdx,3,Shoulder,leather_raiddruidemerald_d_01_shoulder_l_5330110,SkinMapOnly
71032,0,ModelName_2,leather_raiddruidemerald_d_01_shoulder_r.mdx,2,Shoulder,leather_raiddruidemerald_d_01_shoulder_green,SkinMapOnly
71032,0,ModelName_2,leather_raiddruidemerald_d_01_shoulder_r.mdx,3,Shoulder,leather_raiddruidemerald_d_01_shoulder_l_5330110,SkinMapOnly
71033,0,ModelName_1,leather_raiddruidemerald_d_01_pant.mdx,2,Shoulder,leather_raiddruidemerald_d_01_pant_green,SkinMapOnly
71033,0,ModelName_1,leather_raiddruidemerald_d_01_pant.mdx,3,Shoulder,leather_raiddruidemerald_d_01_shoulder_l_5330110,SkinMapOnly
71034,0,ModelName_1,leather_raiddruidemerald_d_01_belt.mdx,2,Waist,leather_raiddruidemerald_d_01_belt_green,SkinMapOnly
71034,0,ModelName_1,leather_raiddruidemerald_d_01_belt.mdx,3,Waist,leather_raiddruidemerald_d_01_shoulder_l_5330110,SkinMapOnly
71034,0,ModelName_2,leather_raiddruidemerald_d_01_pant.mdx,2,Collections,leather_raiddruidemerald_d_01_pant_green,SkinMapOnly
71034,0,ModelName_2,leather_raiddruidemerald_d_01_pant.mdx,3,Collections,leather_raiddruidemerald_d_01_belt_5330160,SkinMapOnly
71038,0,ModelName_1,leather_raiddruidemerald_d_01_pant.mdx,2,Collections,leather_raiddruidemerald_d_01_pant_green,SkinMapOnly
71038,0,ModelName_1,leather_raiddruidemerald_d_01_pant.mdx,3,Collections,leather_raiddruidemerald_d_01_belt_5330160,SkinMapOnly
